date,mood,note
2026-01-24
,happy
,I am feeling happy because it's my first day

2026-01-28
,good
,

2026-02-01
i am quite tired, to be honest
,I've been better, to be honest. It�s been a long week, so I�m really just looking forward to resting this weekend



2026-02-02,
happy,
Yeah today is good day indeed


2026-03-01,
anxious,
As of today, I'm going to post my Python data-saving projects to GitHub I feel quite anxious about this step

2026-03-01,
c:\users\lenovo\appdata\local\programs\python\python313\python.exe "d:/100 days python + data science projects/day1- mood to text journal/mood_to_text_journal.py",
C:\Users\Lenovo\AppData\Local\Programs\Python\Python313\python.exe "d:/100 days Python + Data Science Projects/Day1- Mood to Text Journal/mood_to_text_journal.py"

2026-03-01,
c:\users\lenovo\appdata\local\programs\python\python313\python.exe "d:/100 days python + data science projects/day1- mood to text journal/mood_to_text_journal.py",
C:\Users\Lenovo\AppData\Local\Programs\Python\Python313\python.exe "d:/100 days Python + Data Science Projects/Day1- Mood to Text Journal/mood_to_text_journal.py"

2026-03-01,
happy,
Today is good day
